,Collection_Name,Category_Art,Category_Collectibles,Category_Domain Names,Category_Music,Category_Photography,Category_Sports,Category_Trading Cards,Category_Utility,Category_Virtual Worlds,Items,Owners,Floor_Price,Twitter_Page_Followers,Twitter_Page_Following,Twitter_Page_Is_Verified,Twitter_Page_Creation_Date,Max_Twitter_Retweets,Max_Twitter_Replies,Max_Twitter_Likes,Max_Twitter_Quotes,Collection_Creation_Date,Collection_30_Day_Volume,Collection_Listing_Status,Collection_Traits_count
0,A Blue World,0,0,0,0,1,0,0,0,0,11,5.0,0.011,235.0,382.0,False,12/26/2010,3,1,7,1,2021-11-28,0.0216,not_requested,0.0
1,A Colour Alphabet,1,0,0,0,0,0,0,0,0,26,8.0,0.001,24562.0,3507.0,True,06/06/2009,15,7,52,2,2021-11-07,0.007,not_requested,0.0
2,A Cute Cat,0,1,0,0,0,0,0,0,0,750,264.0,0.05,2639.0,3063.0,False,08/25/2011,4,3,33,1,2021-07-07,6.494799899999995,not_requested,904.0
3,A Dance of Light and Water,0,0,0,0,1,0,0,0,0,43,29.0,0.35,1820.0,1266.0,False,05/25/2021,2,2,9,0,2021-10-10,0.35,not_requested,42.0
4,A Glitch in Reality,0,0,0,0,1,0,0,0,0,10,7.0,0.08,32179.0,675.0,False,09/18/2019,803,18,4948,5,2021-08-09,0.7,not_requested,0.0
5,A Human in Times of Chaos,1,0,0,0,0,0,0,0,0,201,60.0,0.4,2536.0,380.0,False,08/09/2021,25,18,396,5,2021-08-30,1.82,not_requested,16.0
6,A Los Angeles Film Photography Collection,1,0,0,0,0,0,0,0,0,21,4.0,0.12,2001.0,1604.0,False,09/12/2021,2,2,10,0,2021-09-29,0.42,not_requested,0.0
7,A Martian Storybook Series,1,0,0,0,0,0,0,0,0,12,22.0,0.15,1755384.0,6226.0,False,08/12/2013,37,61,499,12,2021-04-14,0.15,approved,0.0
8,A Million Lonely Stars,0,0,0,0,1,0,0,0,0,25,19.0,0.69,2396.0,1000.0,False,05/25/2021,2,4,37,2,2021-10-18,0.45,not_requested,0.0
9,A Miscellany of Thoughts,1,0,0,0,0,0,0,0,0,5,12.0,2.9,4572.0,3768.0,False,12/23/2009,75,35,225,22,2021-12-15,16.067,approved,0.0
10,A Moment Forever,0,0,0,0,1,0,0,0,0,25,17.0,0.25,6815.0,1164.0,False,05/28/2019,12,4,47,3,2021-09-09,0.75,not_requested,0.0
11,A Mysterious Figure,0,1,0,0,0,0,0,0,0,46,2.0,0.015,383.0,220.0,False,11/03/2021,7,4,53,4,2021-11-07,0.025,not_requested,0.0
12,A New Light,0,0,0,0,1,0,0,0,0,12,9.0,0.1,1467.0,1124.0,False,08/05/2009,35,25,254,2,2021-09-20,0.4,not_requested,0.0
13,A New Path Forward,0,0,0,0,1,0,0,0,0,20,5.0,0.15,1271.0,953.0,False,12/02/2020,9,8,57,3,2021-08-22,0.1,not_requested,0.0
14,A New York Moment,0,0,0,0,1,0,0,0,0,12,3.0,0.033,978.0,342.0,False,05/17/2020,5,5,18,1,2021-10-19,0.066,not_requested,0.0
15,A Sense of Scale,0,0,0,0,1,0,0,0,0,40,27.0,0.2,8324.0,1299.0,False,09/22/2010,84,32,996,16,2021-08-11,0.3,not_requested,0.0
16,A Slime Appears,0,0,0,0,0,0,1,0,0,178,223.0,0.001,8.0,53.0,False,06/15/2021,0,1,1,1,2021-08-30,0.00175,not_requested,164.0
17,A Spark Of Light,1,0,0,0,0,0,0,0,0,22,15.0,0.3,33682.0,567.0,False,04/25/2020,202,11,2397,8,2021-08-11,0.6,not_requested,0.0
18,A Step Apart | NFT Short Film,1,0,0,0,0,0,0,0,0,320,13.0,0.01,2375.0,1648.0,False,10/12/2021,21,12,41,12,2021-10-31,0.6100000000000001,not_requested,0.0
19,A Symphony of Fog,0,0,0,0,1,0,0,0,0,50,41.0,0.45,22658.0,1246.0,False,08/09/2016,99,23,909,6,2021-08-09,0.435,approved,0.0
20,A Trip To Peace,1,0,0,0,0,0,0,0,0,13,5.0,0.02,3675.0,4806.0,False,04/07/2009,4,6,17,1,2021-11-23,0.04,not_requested,115.0
21,A YEAR TO REMEMBER,0,0,0,0,1,0,0,0,0,16,6.0,0.25,4376.0,636.0,False,05/22/2021,65,25,781,5,2021-11-25,1.4,not_requested,0.0
22,A tribute to Hua Lamphong in Monochrome,0,0,0,0,1,0,0,0,0,20,15.0,0.25,5397.0,1069.0,False,02/27/2016,12,12,47,3,2021-09-02,0.425,not_requested,0.0
23,AAI 2G,1,0,0,0,0,0,0,0,0,4,2.0,0.002,4012.0,2928.0,False,10/04/2021,35,39,88,4,2021-10-13,0.002,not_requested,0.0
24,ABCDJ x GAN,0,1,0,0,0,0,0,0,0,57,4.0,0.05,1031.0,909.0,False,02/26/2021,5,6,12,2,2021-09-15,0.1,not_requested,2.0
25,ABNORMAL ENTITY,1,0,0,0,0,0,0,0,0,59,26.0,0.333,696.0,1417.0,False,08/21/2021,10,9,70,5,2021-10-22,0.333,not_requested,13.0
26,ABRAXXAS,1,0,0,0,0,0,0,0,0,100,9.0,0.22,429.0,610.0,False,05/27/2009,21,10,196,4,2021-09-04,0.25,not_requested,0.0
27,ABSart ABSart,1,0,0,0,0,0,0,0,0,116,28.0,0.002,170.0,316.0,False,11/23/2021,28,7,48,4,2021-11-23,0.0309999999999999,not_requested,10.0
28,ACEOFLA,0,0,0,0,1,0,0,0,0,57,820.0,0.001,3875.0,376.0,False,01/27/2009,1,3,6,1,2021-08-04,0.2751593389569212,not_requested,27.0
29,ACULSW,1,0,0,0,0,0,0,0,0,17,2.0,0.25,109.0,361.0,False,03/01/2016,3,3,12,3,2021-12-17,0.27,not_requested,2.0
30,AD ASTRA - To the Stars,0,0,0,0,1,0,0,0,0,45,7.0,0.09,3197.0,2456.0,False,02/10/2011,7,13,46,1,2021-09-06,0.15,not_requested,0.0
31,ADAM X EGO,0,1,0,0,0,0,0,0,0,1500,36.0,0.01,204.0,42.0,False,10/23/2021,164,160,165,6,2021-12-01,0.0723176099999999,not_requested,135.0
32,ADD Generative Drawings,1,0,0,0,0,0,0,0,0,363,137.0,0.24,3983.0,675.0,False,04/03/2008,7,7,93,2,2021-01-05,1.524,approved,43.0
33,AFTER DAWN: Beyond META,0,0,0,0,0,0,0,1,0,9,3.0,0.023,3877.0,4959.0,False,01/19/2009,10,6,32,4,2021-11-26,0.0033257790628296,not_requested,80.0
34,AI Angels NFT,1,0,0,0,0,0,0,0,0,200,103.0,0.004,269.0,675.0,False,11/07/2017,6,4,13,2,2021-12-16,1.2535999999999998,not_requested,4.0
35,AI Art Animations - 4K 60 FPS,1,0,0,0,0,0,0,0,0,55,24.0,0.02,199.0,352.0,False,09/02/2021,2,1,10,1,2021-08-09,0.135,not_requested,35.0
36,AI Arts Gallery,1,0,0,0,0,0,0,0,0,90,12.0,0.005,1966.0,867.0,False,08/04/2021,28,34,23,2,2021-10-24,0.1043999999999999,not_requested,0.0
37,AI Fountain,1,0,0,0,0,0,0,0,0,240,146.0,0.065,14445.0,1678.0,False,04/01/2013,13,13,55,7,2021-08-24,0.8799999999999999,approved,181.0
38,AI Fountain - Curated Remix,1,0,0,0,0,0,0,0,0,34,19.0,0.14,14445.0,1678.0,False,04/01/2013,13,13,55,7,2021-09-27,0.1,not_requested,32.0
39,AI Generated Art by #TIA,1,0,0,0,0,0,0,0,0,39,18.0,0.01,3452.0,930.0,False,09/30/2021,43,29,98,2,2021-11-16,0.29,not_requested,0.0
40,AI Labyrinth,1,0,0,0,0,0,0,0,0,13,4.0,0.015,4923.0,3187.0,False,10/03/2021,30,19,94,6,2021-12-08,0.015,not_requested,0.0
41,AI PRETTIES,1,0,0,0,0,0,0,0,0,206,27.0,0.015,5733.0,5356.0,False,01/05/2021,17,11,42,3,2021-02-01,0.0533325,approved,19.0
42,AI Palette,1,0,0,0,0,0,0,0,0,22,5.0,0.05,1994.0,947.0,False,06/25/2021,8,25,73,3,2021-10-03,0.2,not_requested,23.0
43,AI Pixel Buddies,1,0,0,0,0,0,0,0,0,1000,390.0,0.02,446.0,0.0,False,09/12/2021,17,18,31,3,2021-09-13,0.613,not_requested,93.0
44,AI Toadz,1,0,0,0,0,0,0,0,0,19,13.0,1.0,24573.0,590.0,False,10/14/2009,7,5,67,1,2021-10-19,0.1,not_requested,0.0
45,AI by GummyLSD,1,0,0,0,0,0,0,0,0,43,16.0,0.003,18649.0,18513.0,False,03/03/2021,25,5,54,2,2021-12-12,0.095,not_requested,0.0
46,AI perspective,1,0,0,0,0,0,0,0,0,105,6.0,0.001,91.0,1015.0,False,12/26/2021,2,2,6,1,2021-12-11,0.015,not_requested,0.0
47,AI42 Loops,1,1,0,0,0,0,0,0,0,5300,1800.0,0.01,3973.0,389.0,False,03/24/2021,87,38,179,11,2021-04-03,1.2955546658952848,verified,32.0
48,AIR22,0,0,0,0,0,0,0,1,0,6,97.0,0.29,97527.0,1405.0,False,05/20/2021,18,12,147,3,2021-07-11,2.1606247500000006,approved,0.0
49,AIplay [Polygon],1,0,0,0,0,0,0,0,0,436,74.0,0.003,1247.0,10.0,False,11/15/2021,62,32,325,0,2021-11-11,0.2556,not_requested,0.0
50,ALAP : THE LOST PIONEERS,0,1,0,0,0,0,0,0,0,1200,524.0,0.163,198.0,0.0,False,10/21/2021,4,4,13,2,2021-11-01,166.84025439999985,approved,75.0
51,ALL GOOD THINGS COME IN THREES,0,0,0,0,1,0,0,0,0,18,4.0,0.3,38499.0,4633.0,False,02/21/2011,216,30,1551,13,2021-10-17,2.1,not_requested,0.0
52,ALL STARS: Trading Card Game,0,0,0,0,0,0,1,0,0,22,604.0,0.001,30.0,7.0,False,12/07/2021,6,4,7,1,2021-11-04,0.12273,not_requested,11.0
53,ALPACADABRAZ,1,0,0,0,0,0,0,0,0,9700,3800.0,1.32,36146.0,1225.0,False,09/25/2021,10234,10389,10774,419,2021-10-22,3228.3135851379334,approved,379.0
54,AMIS CATS,0,1,0,0,0,0,0,0,0,200,98.0,0.01,295.0,356.0,False,08/14/2021,15,12,22,2,2021-08-14,0.01,not_requested,19.0
55,ANCIENT CARDS,0,0,0,0,0,0,1,0,0,230,503.0,0.001,3286.0,4754.0,False,04/02/2011,24,21,29,2,2021-09-10,0.009506033,not_requested,164.0
56,ANGEL LEAGUE Factory @ Klaytn,1,0,0,0,0,0,0,0,0,2300,586.0,0.004,1792.0,49.0,False,04/13/2021,136,122,146,5,2021-10-14,0.6373631999999997,not_requested,716.0
57,ANGEL LEAGUE SeoulPunks @ Klaytn,1,0,0,0,0,0,0,0,0,678,111.0,0.004,1792.0,49.0,False,04/13/2021,136,122,146,5,2021-10-06,0.00211345,not_requested,81.0
58,ANIMAL UNIVERSE COLLECTIVE,0,0,0,0,0,0,1,0,0,4,3.0,0.006,1796.0,868.0,False,06/26/2009,8,8,9,2,2021-04-01,0.0055,not_requested,22.0
59,ANIME TCG,0,0,0,0,0,0,1,0,0,126,133.0,0.029,1164.0,1904.0,False,08/21/2021,42,41,57,6,2021-06-14,0.35,not_requested,0.0
60,ANOKO,0,1,0,0,0,0,0,0,0,34,29.0,0.006,328.0,105.0,False,09/29/2021,5,3,20,5,2021-09-29,0.012,not_requested,0.0
61,AOI (The Art of Identity),1,0,0,0,0,0,0,0,0,40,345.0,0.005,1833.0,317.0,False,07/17/2018,5,6,31,2,2021-09-12,0.4908000000000002,not_requested,0.0
62,AOZ_official,1,0,0,0,0,0,0,0,0,1600,486.0,0.007,17378.0,91.0,False,09/23/2021,3081,711,2254,370,2021-12-08,12.38126999999998,approved,20.0
63,APE DAO Legends,0,0,0,0,0,0,1,0,0,16,1100.0,0.008,2683.0,111.0,False,09/29/2021,158,75,188,6,2021-10-15,1.2938905799999991,not_requested,19.0
64,APE KIDS CARTOON CLUB (AKCC Official),0,1,0,0,0,0,0,0,0,342,155.0,0.02,6329.0,2.0,False,12/04/2021,400,205,410,70,2021-12-16,0.143,not_requested,119.0
65,APES GOLD,0,0,0,0,0,0,0,1,0,2,14.0,2.596,48.0,291.0,False,11/11/2021,2,4,3,1,2021-12-05,0.00156,not_requested,0.0
66,ARC TRIPPY PUNKS,0,1,0,0,0,0,0,0,0,65,26.0,0.01,231.0,443.0,False,10/05/2021,1,5,10,1,2021-10-01,0.03,not_requested,70.0
67,AREEB'S DAILY DRAW,0,1,0,0,0,0,0,0,0,59,20.0,0.01,507.0,1065.0,False,07/02/2019,13,10,80,2,2021-04-04,0.12,not_requested,32.0
68,ART AND THE MEME,1,0,0,0,0,0,0,0,0,3500,85.0,0.004,647.0,2365.0,False,02/11/2021,2,1,5,1,2021-02-15,0.07,approved,0.0
69,ART BY KEEMO,1,0,0,0,0,0,0,0,0,85,30.0,0.05,2419.0,997.0,False,05/12/2008,3,6,20,4,2021-03-03,1.22,requested,10.0
70,ART CARPET BOMBING,0,1,0,0,0,0,0,0,0,10000,1200.0,0.029,2427.0,102.0,False,09/15/2021,271,159,372,19,2021-09-28,21.90490324780001,approved,94.0
71,ART of KLAY_SIMFLOWER #999,0,1,0,0,0,0,0,0,0,87,47.0,0.008,881.0,1524.0,False,10/13/2021,33,9,51,2,2021-11-07,0.0768991199999999,not_requested,24.0
72,ART-IS-HUNGER,1,0,0,0,0,0,0,0,0,33,22.0,0.1,1104.0,1529.0,False,07/31/2021,62,15,139,18,2021-09-21,0.2379999999999999,not_requested,18.0
73,ARTface,0,1,0,0,0,0,0,0,0,4000,1400.0,0.039,1208.0,975.0,False,02/16/2021,6,10,38,3,2021-03-01,13.382,approved,0.0
74,ARTificial - AI Art by International Megadigital,1,1,0,0,0,0,0,1,0,4400,23.0,0.01,45130.0,15590.0,False,02/25/2013,16,3,41,1,2021-02-28,0.015,requested,4.0
75,ARTwork'z of myself...*,0,1,0,0,0,0,0,0,0,7,4.0,0.078,115.0,435.0,False,06/17/2010,2,3,5,3,2021-11-05,0.1446,not_requested,7.0
76,ASCII Punkz,1,1,0,0,0,0,0,0,0,10,4.0,0.1,8002.0,411.0,False,03/13/2021,8,11,17,2,2021-04-06,0.4499999999999999,not_requested,0.0
77,ASTROWOMEN,0,1,0,0,0,0,0,0,0,8,4.0,0.111,1731.0,2443.0,False,06/08/2020,2,37,59,1,2021-05-27,0.175,not_requested,0.0
78,ASWANG COLLECTION,1,0,0,0,0,0,0,0,0,136,56.0,0.427,4815.0,1262.0,False,03/14/2021,8,4,50,2,2021-05-06,3.29,not_requested,0.0
79,ATAS | Peranakan Miniature,1,0,0,0,0,0,0,0,0,10,2.0,0.06,10.0,16.0,False,10/08/2021,1,2,7,3,2021-11-14,0.04,not_requested,0.0
80,AV Club,0,1,0,0,0,0,0,0,0,50,8.0,0.079,299.0,38.0,False,10/27/2021,5,9,17,1,2021-10-27,0.1884,not_requested,0.0
81,AVA by TeresaMelvin,1,0,0,0,0,0,0,0,0,24,17.0,0.375,1493.0,1194.0,False,08/06/2021,14,12,133,3,2021-09-28,1.4,not_requested,21.0
82,AVAX APES,0,1,0,0,0,0,0,0,0,426,89.0,0.01,15766.0,224.0,False,08/16/2021,137,134,163,12,2021-09-08,0.10124,not_requested,0.0
83,AVEC: Insignias Metalicas,0,1,0,0,0,0,0,0,0,40,13.0,0.045,3629.0,87.0,False,05/07/2021,121,75,215,9,2021-11-29,2.325,not_requested,9.0
84,AVJ PUNKS,0,1,0,0,0,0,0,0,0,564,33.0,0.005,1071.0,1485.0,False,10/27/2021,41,13,59,8,2021-11-16,0.104,not_requested,122.0
85,AXONS,1,0,0,0,0,0,0,0,0,33,33.0,2.25,10605.0,1388.0,False,08/25/2021,85,76,576,13,2021-12-06,1.766,not_requested,0.0
86,Aavegotchi Collabs,0,1,0,0,0,0,0,0,0,3,105.0,0.27,91449.0,5.0,False,07/07/2020,1923,584,2725,446,2020-12-08,0.08,approved,3.0
87,Abandoned Hearts - A Digital Abstract and Surreal Art Series,1,0,0,0,0,0,0,0,0,208,31.0,0.002,922.0,591.0,False,07/01/2021,6,4,19,2,2021-09-06,0.2795000000000001,not_requested,20.0
88,Abstract Energy,1,0,0,0,0,0,0,0,0,256,165.0,0.069,3567.0,247.0,False,02/17/2021,22,14,145,4,2021-08-16,0.2915,verified,19.0
89,Abstract Geometrical by Nataly Borich,1,0,0,0,0,0,0,0,0,13,3.0,0.03,849.0,1167.0,False,07/29/2021,5,3,20,1,2021-08-29,0.15,not_requested,0.0
90,Abstract NFTs.,1,0,0,0,0,0,0,0,0,68,11.0,0.01,366.0,300.0,False,08/30/2020,1,3,10,1,2021-08-26,0.01,not_requested,0.0
91,Abstract Nature by Albert Dros,0,0,0,0,1,0,0,0,0,100,53.0,0.25,7802.0,753.0,False,02/19/2015,34,33,542,19,2021-08-28,1.608,approved,10.0
