,Collection_Name,Category_Art,Category_Collectibles,Category_Domain Names,Category_Music,Category_Photography,Category_Sports,Category_Trading Cards,Category_Utility,Category_Virtual Worlds,Collections_Links,Items,Owners,Floor_Price,Twitter_Links
2,A Beautiful Nature,0,0,0,0,1,0,0,0,0,https://opensea.io/collection/a-beautiful-nature,11,1.0,0.001,https://twitter.com/riteshverma357
5,A Blue World,0,0,0,0,1,0,0,0,0,https://opensea.io/collection/ablueworld,11,5.0,0.011,https://twitter.com/TSkoff
8,A Bridge to Reality,0,0,0,0,1,0,0,0,0,https://opensea.io/collection/abridgetoreality,29,3.0,0.1,https://twitter.com/TheCutter_5
10,A Colour Alphabet,1,0,0,0,0,0,0,0,0,https://opensea.io/collection/colour-alphabet,26,8.0,0.001,http://twitter.com/bramk
13,A Cute Cat,0,1,0,0,0,0,0,0,0,https://opensea.io/collection/acutecat,750,264.0,0.05,https://twitter.com/udinovpro
14,A DESRT HALLOWEEN,0,0,0,0,0,0,1,0,0,https://opensea.io/collection/a-desrt-halloween,1,5.0,0.002,https://www.twitter.com/desrtclub
15,A Dance of Light and Water,0,0,0,0,1,0,0,0,0,https://opensea.io/collection/a-dance-of-light-and-water,43,29.0,0.35,https://www.twitter.com/elusiveilusionz
16,A Day With Byron,0,0,0,0,1,0,0,0,0,https://opensea.io/collection/a-day-with-byron,20,2.0,0.05,https://www.twitter.com/olboyphotos
21,A Game of Stonks - Mverse Office,0,0,0,0,0,0,0,0,1,https://opensea.io/collection/mverse-game-items,2,2.0,0.015,https://www.twitter.com/tubeblogger
24,A Glitch in Reality,0,0,0,0,1,0,0,0,0,https://opensea.io/collection/aglitchinreality,10,7.0,0.08,https://www.twitter.com/@jencaywood
27,A Human in Times of Chaos,1,0,0,0,0,0,0,0,0,https://opensea.io/collection/a-human-in-times-of-chaos,201,60.0,0.4,https://www.twitter.com/KennyVaden
28,A Kalimba Collection,0,0,0,1,0,0,0,0,0,https://opensea.io/collection/a-kalimba-collection,1,1.0,0.25,https://www.twitter.com/nftmusiccreator
32,A List Apes V2 Official,0,1,0,0,0,0,0,0,0,https://opensea.io/collection/a-list-apes-v2,802,305.0,0.009,https://www.twitter.com/AListApesNFT
35,A London Thing,0,0,0,0,1,0,0,0,0,https://opensea.io/collection/londonthing,9,1.0,0.2,https://www.twitter.com/_emresarigul
36,A Los Angeles Film Photography Collection,1,0,0,0,0,0,0,0,0,https://opensea.io/collection/losangeles-filmphotography,21,4.0,0.12,https://twitter.com/bychiaraalexa
41,A Martian Storybook Series,1,0,0,0,0,0,0,0,0,https://opensea.io/collection/a-martian-storybook-series,12,22.0,0.15,https://twitter.com/BoredElonMusk
43,A Million Lonely Stars,0,0,0,0,1,0,0,0,0,https://opensea.io/collection/a-million-lonely-stars,25,19.0,0.69,https://www.twitter.com/richardzphotoz
44,A Miscellany of Thoughts,1,0,0,0,0,0,0,0,0,https://opensea.io/collection/amiscellanyofthoughts,5,12.0,2.9,https://www.twitter.com/holakanola
45,A Moment Forever,0,0,0,0,1,0,0,0,0,https://opensea.io/collection/a-moment-forever,25,17.0,0.25,https://twitter.com/lolahubner_
46,A Moment in Time - Sky Photography,0,0,0,0,1,0,0,0,0,https://opensea.io/collection/sky-photography-onajourney,150,1.0,0.01,https://www.twitter.com/0n_A_Journey
48,A Mysterious Figure,0,1,0,0,0,0,0,0,0,https://opensea.io/collection/mysterious-figure,46,2.0,0.015,https://twitter.com/mystfigure_nft
51,A New Light,0,0,0,0,1,0,0,0,0,https://opensea.io/collection/a-new-light,12,9.0,0.1,https://www.twitter.com/saigecarlson
52,"A New Paradigm for Internet Perception, The Cultural Trait Model of Information Sharing. V4",0,0,0,0,0,0,0,1,0,https://opensea.io/collection/cultural-trait-model,1,1.0,200.0,https://www.twitter.com/slumbum
53,A New Path Forward,0,0,0,0,1,0,0,0,0,https://opensea.io/collection/a-new-path-forward,20,5.0,0.15,https://twitter.com/alecoutside
54,A New York Moment,0,0,0,0,1,0,0,0,0,https://opensea.io/collection/a-new-york-moment,12,3.0,0.033,https://twitter.com/0xandreharrison
57,A Quarantine Dream by Sam Horine,0,0,0,0,1,0,0,0,0,https://opensea.io/collection/quarantine-dreamsss,41,33.0,0.148,https://twitter.com/samhorine
59,A Sense of Scale,0,0,0,0,1,0,0,0,0,https://opensea.io/collection/asosc,40,27.0,0.2,https://twitter.com/CodyConk
60,A Silent Movie,0,0,0,0,1,0,0,0,0,https://opensea.io/collection/asilentmovie,37,24.0,0.5,https://twitter.com/anocam_
